
 STRATEGY REPORT:
Total positive trades: 67 (12934.250000 points); Total negative trades: 56 (-8443.830000 points);
 Net loss/profit: 4490.420000

 Trade no: 50; Direction: long; Entry date: 01/02/2021 09:00:00 CET; Entry closing price: 13587.900000; Exit date: 02/02/2021 12:00:00 CET; Exit closing price: 13765.520000; Loss/profit: 177.620000; Current p&l: 1963.820000
 Trade no: 51; Direction: short; Entry date: 05/02/2021 11:00:00 CET; Entry closing price: 14080.050000; Exit date: 09/02/2021 12:00:00 CET; Exit closing price: 14005.110000; Loss/profit: 74.940000; Current p&l: 2038.760000
 Trade no: 52; Direction: short; Entry date: 25/02/2021 12:00:00 CET; Entry closing price: 13935.280000; Exit date: 26/02/2021 14:00:00 CET; Exit closing price: 13822.410000; Loss/profit: 112.870000; Current p&l: 2151.630000
 Trade no: 53; Direction: short; Entry date: 10/03/2021 11:00:00 CET; Entry closing price: 14482.110000; Exit date: 12/03/2021 12:00:00 CET; Exit closing price: 14463.430000; Loss/profit: 18.680000; Current p&l: 2170.310000
 Trade no: 54; Direction: short; Entry date: 12/03/2021 16:00:00 CET; Entry closing price: 14496.270000; Exit date: 16/03/2021 17:00:00 CET; Exit closing price: 14557.580000; Loss/profit: -61.310000; Current p&l: 2122.940000
 Trade no: 55; Direction: short; Entry date: 16/03/2021 15:00:00 CET; Entry closing price: 14571.520000; Exit date: 18/03/2021 16:00:00 CET; Exit closing price: 14793.020000; Loss/profit: -221.500000; Current p&l: 1887.500000
 Trade no: 56; Direction: short; Entry date: 30/03/2021 10:00:00 CEST; Entry closing price: 14907.220000; Exit date: 01/04/2021 11:00:00 CEST; Exit closing price: 15074.570000; Loss/profit: -167.350000; Current p&l: 1735.360000
 Trade no: 57; Direction: short; Entry date: 01/04/2021 10:00:00 CEST; Entry closing price: 15089.780000; Exit date: 07/04/2021 11:00:00 CEST; Exit closing price: 15203.010000; Loss/profit: -113.230000; Current p&l: 1606.920000
 Trade no: 58; Direction: short; Entry date: 09/04/2021 14:00:00 CEST; Entry closing price: 15213.630000; Exit date: 13/04/2021 15:00:00 CEST; Exit closing price: 15256.410000; Loss/profit: -42.780000; Current p&l: 1564.140000
 Trade no: 59; Direction: short; Entry date: 15/04/2021 17:00:00 CEST; Entry closing price: 15255.330000; Exit date: 20/04/2021 09:00:00 CEST; Exit closing price: 15345.290000; Loss/profit: -89.960000; Current p&l: 1586.910000
 Trade no: 60; Direction: short; Entry date: 19/04/2021 10:00:00 CEST; Entry closing price: 15458.020000; Exit date: 20/04/2021 14:00:00 CEST; Exit closing price: 15222.980000; Loss/profit: 235.040000; Current p&l: 1709.220000
 Trade no: 61; Direction: short; Entry date: 03/06/2021 17:00:00 CEST; Entry closing price: 15632.670000; Exit date: 08/06/2021 09:00:00 CEST; Exit closing price: 15664.990000; Loss/profit: -32.320000; Current p&l: 1676.900000
 Trade no: 62; Direction: long; Entry date: 24/06/2021 09:00:00 CEST; Entry closing price: 15506.080000; Exit date: 28/06/2021 10:00:00 CEST; Exit closing price: 15587.780000; Loss/profit: 81.700000; Current p&l: 1758.600000
 Trade no: 63; Direction: short; Entry date: 29/06/2021 13:00:00 CEST; Entry closing price: 15691.130000; Exit date: 30/06/2021 11:00:00 CEST; Exit closing price: 15497.690000; Loss/profit: 193.440000; Current p&l: 1952.040000
 Trade no: 64; Direction: long; Entry date: 16/07/2021 17:00:00 CEST; Entry closing price: 15540.310000; Exit date: 21/07/2021 09:00:00 CEST; Exit closing price: 15294.090000; Loss/profit: -246.220000; Current p&l: 1705.820000
 Trade no: 65; Direction: short; Entry date: 05/08/2021 11:00:00 CEST; Entry closing price: 15716.650000; Exit date: 09/08/2021 12:00:00 CEST; Exit closing price: 15733.810000; Loss/profit: -17.160000; Current p&l: 1688.660000
 Trade no: 66; Direction: long; Entry date: 17/09/2021 17:00:00 CEST; Entry closing price: 15490.170000; Exit date: 22/09/2021 09:00:00 CEST; Exit closing price: 15384.350000; Loss/profit: -105.820000; Current p&l: 1582.840000
 Trade no: 67; Direction: long; Entry date: 01/10/2021 11:00:00 CEST; Entry closing price: 15145.510000; Exit date: 05/10/2021 12:00:00 CEST; Exit closing price: 15088.640000; Loss/profit: -56.870000; Current p&l: 1525.970000
 Trade no: 68; Direction: short; Entry date: 14/10/2021 12:00:00 CEST; Entry closing price: 15381.480000; Exit date: 18/10/2021 13:00:00 CEST; Exit closing price: 15488.360000; Loss/profit: -106.880000; Current p&l: 1419.090000
 Trade no: 69; Direction: short; Entry date: 04/11/2021 12:00:00 CET; Entry closing price: 16036.480000; Exit date: 08/11/2021 13:00:00 CET; Exit closing price: 16025.910000; Loss/profit: 10.570000; Current p&l: 1429.660000
 Trade no: 70; Direction: short; Entry date: 09/11/2021 11:00:00 CET; Entry closing price: 16079.050000; Exit date: 11/11/2021 12:00:00 CET; Exit closing price: 16084.740000; Loss/profit: -5.690000; Current p&l: 1423.970000
 Trade no: 71; Direction: short; Entry date: 12/11/2021 13:00:00 CET; Entry closing price: 16101.540000; Exit date: 16/11/2021 14:00:00 CET; Exit closing price: 16226.910000; Loss/profit: -125.370000; Current p&l: 1298.600000
 Trade no: 72; Direction: long; Entry date: 23/11/2021 10:00:00 CET; Entry closing price: 15939.820000; Exit date: 25/11/2021 11:00:00 CET; Exit closing price: 15905.920000; Loss/profit: -33.900000; Current p&l: 1264.700000
 Trade no: 73; Direction: long; Entry date: 26/11/2021 12:00:00 CET; Entry closing price: 15458.470000; Exit date: 30/11/2021 13:00:00 CET; Exit closing price: 15118.470000; Loss/profit: -340.000000; Current p&l: 961.810000
 Trade no: 74; Direction: long; Entry date: 30/11/2021 12:00:00 CET; Entry closing price: 15081.360000; Exit date: 02/12/2021 13:00:00 CET; Exit closing price: 15232.370000; Loss/profit: 151.010000; Current p&l: 1075.710000
 Trade no: 75; Direction: short; Entry date: 13/12/2021 11:00:00 CET; Entry closing price: 15760.380000; Exit date: 14/12/2021 17:00:00 CET; Exit closing price: 15453.560000; Loss/profit: 306.820000; Current p&l: 1382.530000
 Trade no: 76; Direction: long; Entry date: 20/12/2021 10:00:00 CET; Entry closing price: 15146.920000; Exit date: 22/12/2021 11:00:00 CET; Exit closing price: 15482.120000; Loss/profit: 335.200000; Current p&l: 1717.730000
 Trade no: 77; Direction: short; Entry date: 28/12/2021 11:00:00 CET; Entry closing price: 15942.640000; Exit date: 30/12/2021 12:00:00 CET; Exit closing price: 15866.930000; Loss/profit: 75.710000; Current p&l: 1793.440000
