
 STRATEGY REPORT:
Total positive trades: 26 (7695.540000 points); Total negative trades: 30 (-7255.630000 points);
 Net loss/profit: 439.910000

 Trade no: 37; Direction: short; Entry date: 08/09/2016 00:00:00 CEST; Entry closing price: 10675.290000; Exit date: 13/09/2016 00:00:00 CEST; Exit closing price: 10386.600000; Loss/profit: 288.690000; Current p&l: -2241.790000
 Trade no: 38; Direction: short; Entry date: 25/10/2016 00:00:00 CEST; Entry closing price: 10757.310000; Exit date: 02/11/2016 00:00:00 CET; Exit closing price: 10370.930000; Loss/profit: 386.380000; Current p&l: -1855.410000
 Trade no: 39; Direction: short; Entry date: 03/01/2017 00:00:00 CET; Entry closing price: 11584.240000; Exit date: 30/01/2017 00:00:00 CET; Exit closing price: 11681.890000; Loss/profit: -97.650000; Current p&l: -1953.060000
 Trade no: 40; Direction: long; Entry date: 25/07/2017 00:00:00 CEST; Entry closing price: 12264.310000; Exit date: 21/08/2017 00:00:00 CEST; Exit closing price: 12065.990000; Loss/profit: -198.320000; Current p&l: -2151.380000
 Trade no: 41; Direction: short; Entry date: 02/11/2017 00:00:00 CET; Entry closing price: 13440.930000; Exit date: 13/11/2017 00:00:00 CET; Exit closing price: 13074.420000; Loss/profit: 366.510000; Current p&l: -1784.870000
 Trade no: 42; Direction: short; Entry date: 24/01/2018 00:00:00 CET; Entry closing price: 13414.740000; Exit date: 01/02/2018 00:00:00 CET; Exit closing price: 13003.900000; Loss/profit: 410.840000; Current p&l: -1374.030000
 Trade no: 43; Direction: long; Entry date: 27/03/2018 00:00:00 CEST; Entry closing price: 11970.830000; Exit date: 05/04/2018 00:00:00 CEST; Exit closing price: 12305.190000; Loss/profit: 334.360000; Current p&l: -1039.670000
 Trade no: 44; Direction: short; Entry date: 28/11/2019 00:00:00 CET; Entry closing price: 13245.580000; Exit date: 04/12/2019 00:00:00 CET; Exit closing price: 13140.570000; Loss/profit: 105.010000; Current p&l: -934.660000
 Trade no: 45; Direction: short; Entry date: 18/02/2020 00:00:00 CET; Entry closing price: 13681.190000; Exit date: 24/02/2020 00:00:00 CET; Exit closing price: 13035.240000; Loss/profit: 645.950000; Current p&l: -288.710000
 Trade no: 46; Direction: short; Entry date: 16/07/2020 00:00:00 CEST; Entry closing price: 12874.970000; Exit date: 30/07/2020 00:00:00 CEST; Exit closing price: 12379.650000; Loss/profit: 495.320000; Current p&l: 206.610000
 Trade no: 47; Direction: short; Entry date: 11/01/2021 00:00:00 CET; Entry closing price: 13936.660000; Exit date: 29/01/2021 00:00:00 CET; Exit closing price: 13432.870000; Loss/profit: 503.790000; Current p&l: 710.400000
 Trade no: 48; Direction: short; Entry date: 19/04/2021 00:00:00 CEST; Entry closing price: 15368.390000; Exit date: 04/05/2021 00:00:00 CEST; Exit closing price: 14856.480000; Loss/profit: 511.910000; Current p&l: 1222.310000
 Trade no: 49; Direction: short; Entry date: 07/06/2021 00:00:00 CEST; Entry closing price: 15677.150000; Exit date: 02/07/2021 00:00:00 CEST; Exit closing price: 15650.090000; Loss/profit: 27.060000; Current p&l: 1249.370000
 Trade no: 50; Direction: long; Entry date: 21/09/2021 00:00:00 CEST; Entry closing price: 15348.530000; Exit date: 06/10/2021 00:00:00 CEST; Exit closing price: 14973.330000; Loss/profit: -375.200000; Current p&l: 874.170000
 Trade no: 51; Direction: long; Entry date: 09/03/2022 00:00:00 CET; Entry closing price: 13847.930000; Exit date: 10/03/2022 00:00:00 CET; Exit closing price: 13442.100000; Loss/profit: -405.830000; Current p&l: 468.340000
 Trade no: 52; Direction: long; Entry date: 27/04/2022 00:00:00 CEST; Entry closing price: 13793.940000; Exit date: 09/05/2022 00:00:00 CEST; Exit closing price: 13380.670000; Loss/profit: -413.270000; Current p&l: 55.070000
 Trade no: 53; Direction: long; Entry date: 06/07/2022 00:00:00 CEST; Entry closing price: 12594.520000; Exit date: 08/07/2022 00:00:00 CEST; Exit closing price: 13015.230000; Loss/profit: 420.710000; Current p&l: 475.780000
 Trade no: 54; Direction: short; Entry date: 17/08/2022 00:00:00 CEST; Entry closing price: 13626.710000; Exit date: 22/08/2022 00:00:00 CEST; Exit closing price: 13230.570000; Loss/profit: 396.140000; Current p&l: 871.920000
 Trade no: 55; Direction: short; Entry date: 02/11/2022 00:00:00 CET; Entry closing price: 13256.740000; Exit date: 08/11/2022 00:00:00 CET; Exit closing price: 13688.750000; Loss/profit: -432.010000; Current p&l: 439.910000
