
 STRATEGY REPORT:
Total positive trades: 37 (6508.380000 points); Total negative trades: 31 (-7440.040000 points);
 Net loss/profit: -931.660000

 Trade no: 37; Direction: short; Entry date: 11/11/2021 15:00:00 CET; Entry closing price: 16076.120000; Exit date: 15/11/2021 16:00:00 CET; Exit closing price: 16121.960000; Loss/profit: -45.840000; Current p&l: -947.870000
 Trade no: 38; Direction: short; Entry date: 12/11/2021 10:00:00 CET; Entry closing price: 16096.410000; Exit date: 16/11/2021 11:00:00 CET; Exit closing price: 16193.490000; Loss/profit: -97.080000; Current p&l: -1019.400000
 Trade no: 39; Direction: short; Entry date: 18/11/2021 10:00:00 CET; Entry closing price: 16243.560000; Exit date: 18/11/2021 17:00:00 CET; Exit closing price: 16221.730000; Loss/profit: 21.830000; Current p&l: -997.570000
 Trade no: 40; Direction: long; Entry date: 04/02/2022 17:00:00 CET; Entry closing price: 15099.560000; Exit date: 09/02/2022 09:00:00 CET; Exit closing price: 15443.090000; Loss/profit: 343.530000; Current p&l: -654.040000
 Trade no: 41; Direction: long; Entry date: 22/02/2022 17:00:00 CET; Entry closing price: 14693.000000; Exit date: 24/02/2022 09:00:00 CET; Exit closing price: 14112.440000; Loss/profit: -580.560000; Current p&l: -1753.520000
 Trade no: 42; Direction: long; Entry date: 23/02/2022 17:00:00 CET; Entry closing price: 14631.360000; Exit date: 24/02/2022 09:00:00 CET; Exit closing price: 14112.440000; Loss/profit: -518.920000; Current p&l: -1753.520000
 Trade no: 43; Direction: short; Entry date: 11/03/2022 15:00:00 CET; Entry closing price: 13732.270000; Exit date: 15/03/2022 16:00:00 CET; Exit closing price: 13843.720000; Loss/profit: -111.450000; Current p&l: -1864.970000
 Trade no: 44; Direction: long; Entry date: 27/04/2022 17:00:00 CEST; Entry closing price: 13793.940000; Exit date: 29/04/2022 16:00:00 CEST; Exit closing price: 14092.270000; Loss/profit: 298.330000; Current p&l: -1566.640000
 Trade no: 45; Direction: long; Entry date: 11/05/2022 15:00:00 CEST; Entry closing price: 13749.190000; Exit date: 13/05/2022 16:00:00 CEST; Exit closing price: 13976.540000; Loss/profit: 227.350000; Current p&l: -1339.290000
 Trade no: 46; Direction: long; Entry date: 14/06/2022 14:00:00 CEST; Entry closing price: 13429.670000; Exit date: 16/06/2022 15:00:00 CEST; Exit closing price: 13067.520000; Loss/profit: -362.150000; Current p&l: -2035.780000
 Trade no: 47; Direction: long; Entry date: 15/06/2022 09:00:00 CEST; Entry closing price: 13401.860000; Exit date: 17/06/2022 10:00:00 CEST; Exit closing price: 13174.530000; Loss/profit: -227.330000; Current p&l: -1928.770000
